https://dune.xyz/queries/396720
Id,annotation,cumulative_share_of_tx,link_text,num_tx,rank,revert_rate,share_of_tx,to,total_gas_used,unique_addresses
1,Simple ETH Transfer,36.328611048334025,N/A,12179864,1,0.12211959016947972,36.328611048334025,Simple ETH Transfer,258309.140145,3097000
2,opensea-WyvernExchange,45.07092345705849,0x7be8...6d12b,2931028,2,9.619764806068043,8.742312408724464,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,496352.636414,477328
3,USDT Token,50.584534773386125,0xdac1...31ec7,1848544,3,0.9632445860093133,5.513611316327635,0xdac17f958d2ee523a2206206994597c13d831ec7,95687.975323,514732
4,uniswap_v3-SwapRouter02,53.50496119252711,0x68b3...5fc45,979129,4,8.177472018498074,2.9204264191409894,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,167792.013746,302486
5,USDC Token,55.989185883737186,0xa0b8...6eb48,832884,5,0.672842796836054,2.484224691210069,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,46079.412195,293971
6,WETH Token,58.1771501282298,0xc02a...56cc2,733557,6,1.333093406511014,2.187964244492612,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,27372.066783,255267
7,Uniswap V2 Router,59.0675779065771,0x7a25...2488d,298533,7,15.603300137673221,0.8904277783473036,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,48087.960174,72578
8,MATIC Token,59.78567550451027,0x7d1a...febb0,240756,8,1.1027762547973883,0.7180975979331713,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,10471.637631,98484
9,,60.50003878972595,0x881d...d300c,239504,9,3.3782316788028592,0.7143632852156799,0x881d40237659c251811cec9c364ef91dc08d300c,49297.516789,114453
10,looksrare-LooksRareToken,61.186767564296616,0xf4d2...2421e,230239,10,0.9394585626240559,0.6867287745706666,0xf4d2888d29d722226fafa5d9b24f9164c092421e,10270.903283,153822
11,SHIB Token,61.83195061854625,0x95ad...4c4ce,216310,11,2.2222735888308445,0.6451830542496315,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,9095.329195,80345
12,looksrare-FeeSharingSystem,62.44382610880528,0xbcd7...c12ce,205143,12,3.3249976845420024,0.6118754902590363,0xbcd7254a1d759efa08ec7c3291b2e85c5dcc12ce,31213.421194,71950
13,wyvern-WyvernProxyRegistry,63.02677558889321,0xa540...077c1,195445,13,12.157384430402415,0.5829494800879258,0xa5409ec958c83c3f309868babaca7c86dcb077c1,69539.566129,176076
14,strong-ServiceV9,63.58371313510794,0xfbdd...ae655,186724,14,1.495790578607999,0.5569375462147297,0xfbddadd80fe7bda00b901fbaf73803f2238ae655,75323.579111,42581
15,strong-ServiceV9,64.14065068132267,0xfbdd...ae655,186724,15,1.495790578607999,0.5569375462147297,0xfbddadd80fe7bda00b901fbaf73803f2238ae655,75323.579111,42581
16,Sushiswap Router,64.68202163163278,0xd9e1...78b9f,181505,16,11.075176992369355,0.5413709503101075,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,23696.568572,57020
17,polygon-RootChainManager,65.21979248973042,0xa0c6...77c77,180298,17,2.74490010981819,0.5377708580976379,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,16812.263524,107608
18,oneinch_v4-AggregationRouterV4,65.64139400939287,0x1111...3097d,141350,18,11.796250442164839,0.4216015196624539,0x1111111254fb6c44bac0bed2854e76f90643097d,30785.264966,23509
19,fees_wtf-WTF,66.05255615644253,0xa68d...c4a33,137850,19,2.832063837504534,0.4111621470496588,0xa68dd8cb83097765263adad881af6eed479c4a33,13049.968179,60084
20,ethereumnameservice-ETHRegistrarController_3,66.44645158119063,0x283a...eb7f5,132061,20,4.519123738272465,0.3938954247480957,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,18988.169833,42339
21,looksrare-LooksRareAirdrop,66.81673314508858,0xa35d...b5970,124144,21,1.6811122567341152,0.37028156389795314,0xa35dce3e0e6ceb67a30b8d7f4aee721c949b5970,15491.775556,122062
22,,67.14994598817744,0x9b96...aacaa,111716,22,0.12352751620179742,0.3332128430888624,0x9b9647431632af44be02ddd22477ed94d14aacaa,5512.308276,20208
23,uniswap_v3-SwapRouter,67.44908471905813,0xe592...61564,100292,23,8.783352610377698,0.2991387308806992,0xe592427a0aece92de3edee1f18e0157c05861564,15115.980523,38413
24,,67.74393734181182,0x5f65...1e932,98855,24,0,0.29485262275367446,0x5f65f7b609678448494de4c87521cdf6cef1e932,5447.749077,1
25,LINK Token,68.03538672909372,0x5149...986ca,97714,25,0.7941543688724236,0.2914493872819032,0x514910771af9ca656af840dff83e8264ecf986ca,4178.079371,32265
26,DAI Token,68.30288223024608,0x6b17...71d0f,89683,26,0.9221368598285071,0.26749550115237253,0x6b175474e89094c44da98b954eedeac495271d0f,3757.366077,38262
27,,68.55356437613608,0xa57b...dd6cf,84046,27,11.08083668467268,0.25068214588999366,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,13701.446319,211
28,,68.79651840361473,0x5139...47870,81455,28,37.66251304401203,0.2429540274786359,0x51399b32cd0186bb32230e24167489f3b2f47870,8123.086783,102
29,looksrare-LooksRareExchange,69.03926066096321,0x5972...7ce3a,81384,29,3.1836724663324487,0.24274225734849061,0x59728544b08ab483533076417fbbb2fd0b17ce3a,13116.554737,30902
30,STRONG Token,69.27607633734553,0x990f...8017c,79397,30,0.6297467158708767,0.23681567638231238,0x990f341946a3fdb507ae7e52d17851b87168017c,3286.004313,36124
31,Binance Contract,69.49496611961273,0x0b95...c5566,73387,31,0,0.2188897822671985,0x0b95993a39a363d99280ac950f5e4536ab5c5566,3632.111693,2
32,GALA Token,69.70602637242033,0x15d4...203da,70762,32,2.481557898307001,0.21106025280760216,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,2983.543682,22191
33,,69.91346863694812,0xe6cd...75ef8,69549,33,3.3645343570719923,0.2074422645277963,0xe6cd4727a1058e6973e973986d0493f1e7975ef8,15739.300268,6960
34,MANA Token,70.11811314961568,0x0f5d...cc942,68611,34,1.8306102520004082,0.20464451266756722,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,3171.969436,19362
35,zeroex-ZeroExProxy,70.32262045910035,0xe66b...33750,68565,35,8.969590899146795,0.2045073094846562,0xe66b31678d6c16e9ebf358268a790b763c133750,13698.825552,34791
36,zeroex-ExchangeProxy,70.52530833507248,0xdef1...25eff,67955,36,12.153631079390774,0.20268787597214047,0xdef1c0ded9bec7f1a1670819833240f027b25eff,13969.202886,20716
37,zeroex-ExchangeProxy,70.72799621104463,0xdef1...25eff,67955,37,12.153631079390774,0.20268787597214047,0xdef1c0ded9bec7f1a1670819833240f027b25eff,13969.202886,20716
38,FTM Token,70.90198774304314,0x4e15...17870,58334,38,0.41313813556416495,0.17399153199851142,0x4e15361fd6b4bb609fa63c81a2be19d873717870,2796.969321,21341
39,HEX Token,71.07459531250097,0x2b59...eeb39,57870,39,1.5690340418178677,0.17260756945784372,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,8185.600599,30072
40,CRO Token,71.24697023308345,0xa0b7...4450b,57792,40,0.21975359911406422,0.17237492058247283,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,2563.476463,19378
41,,71.40522813921554,0x495f...b7b5e,53059,41,1.062967639797207,0.15825790613208449,0x495f947276749ce646f68ac8c248420045cb7b5e,3809.712777,19944
42,,71.56016334217887,0x0000...fb793,51945,42,0.18288574453749157,0.15493520296332627,0x0000006daea1723962647b7e189d311d757fb793,6841.888521,10
43,coinbase-commerce,71.71089893467395,0x881d...c6bb1,50537,43,0.003957496487721867,0.15073559249509327,0x881d4032abe4188e2237efcd27ab435e81fc6bb1,7479.421386,50537
44,SAND Token,71.85975245742085,0x3845...3a5d0,49906,44,5.59652146034545,0.14885352274690078,0x3845badade8e6dff049820680d1f14bd3903a5d0,2222.410847,15698
45,SOS Token,71.99873033367605,0x3b48...0aee0,46595,45,2.832921987337697,0.13897787625519661,0x3b484b82567a09e2588a13d54d032153f0c0aee0,2104.771792,34210
46,,72.11716948998505,0xa6dd...7c6f7,39709,46,0.5540305724143141,0.11843915630899457,0xa6dd98031551c23bb4a2fbe2c4d524e8f737c6f7,2978.225613,24090
47,,72.22786561449324,0x4d24...192d3,37113,47,1.2125131355589684,0.11069612450818997,0x4d246be90c2f36730bb853ad41d0a189061192d3,3664.692709,29
48,foundation-market,72.33551940755427,0xcda7...d0b6f,36093,48,1.4961349846230572,0.10765379306103254,0xcda72070e455bb31c7690a170224ce43623d0b6f,5485.335632,9914
49,foundation-market,72.4431732006153,0xcda7...d0b6f,36093,49,1.4961349846230572,0.10765379306103254,0xcda72070e455bb31c7690a170224ce43623d0b6f,5485.335632,9914
50,,72.54772799134928,0x984f...7a5c5,35054,50,60.27272208592457,0.10455479073397708,0x984f7b398d577c0adde08293a53ae9d3b6b7a5c5,2121.677225,17612
51,UST Token,72.65076758171546,0xa47c...61acd,34546,51,0.47472934637874137,0.1030395903661771,0xa47c8bf37f92abed4a126bda807a7b7498661acd,1386.749332,13947
52,genieswap-GenieSwap,72.75188931019876,0x0a26...e4f07,33903,52,0.33035424593693774,0.10112172848331218,0x0a267cf51ef038fc00e71801f5a524aec06e4f07,34252.727372,14334
53,SAITAMA Token,72.85185972501678,0x8b31...3f73f,33517,53,0.5430080257779635,0.09997041481801534,0x8b3192f5eebd8579568a2ed41e6feb402f93f73f,2000.858848,15459
54,,72.94729050408718,0xa247...4da9d,31995,54,0,0.09543077907039416,0xa24787320ede4cc19d800bf87b41ab9539c4da9d,3314.23907,55
55,uniswap_v3-NonfungibleTokenPositionManager,73.04006073448025,0xc364...1fe88,31103,55,7.179371764781532,0.09277023039307608,0xc36442b4a4522e871399cd717abdd847ab11fe88,10024.637851,6818
56,oneinch_v3-AggregationRouterV3,73.1324163726467,0x1111...faa26,30964,56,4.430952073375533,0.09235563816645365,0x11111112542d85b3ef69ae05771c2dccff4faa26,4321.454731,14716
57,SLP Token,73.22329558525793,0xcc8f...aaa25,30469,57,0.14769109586793133,0.09087921261121548,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,994.082978,24632
